TRANSACTIONID,DATE,CUSTOMERID,CUSTOMER_NAME,SEGMENT,CUSTOMER_TYPE,RELATIONSHIP_MANAGER,AREA,ISIN,SECURITY_NAME,SECURITY_REGION,ASSET_TYPE,SUB_ASSET_TYPE,CURRENCY,PRICE_STATUS,QUANTITY,PRICE,AMOUNT,TRANSACTIONTYPE
T000059,13-03-2026,GB002,Carina Thompson,Private,Advisory,Sagar T,Berlin,XS23819,Tesla,North American,Mutual Fund,Equity Funds,USD,VALID,33,178.32,5884.56,BUY
T000069,13-03-2026,GB006,William Robinson,Private,Advisory,Nibu X,Rheinland-Pfalz,XS23835,Colgate,North American,Mutual Fund,Fixed Income Funds,USD,VALID,55,74.99,4124.45,BUY
T000073,13-03-2026,GB009,Michelle Armstrong,Private,Execution Only,Jithin M,Saxony,XS23837,HP,North American,Mutual Fund,Fixed Income Funds,USD,VALID,66,88.51,5841.66,BUY
T000073,13-03-2026,GB009,Michelle Armstrong,Private,Execution Only,Jithin M,Saxony,XS23837,HP,North American,Mutual Fund,Fixed Income Funds,USD,VALID,66,88.51,5841.66,BUY
T000082,13-03-2026,GB015,Eleanor Scott,Private,Execution Only,Sulaiman B,Berlin,EG23830,Telecom Egypt,Africa,Mutual Fund,Fixed Income Funds,EGY,VALID,66,10.71,706.86,SELL
T000108,13-03-2026,GB002,Carina Thompson,Private,Advisory,Sagar T,Berlin,XS23827,Meta,North American,Equity,Foreign Equity,USD,VALID,36,31.77,1143.72,BUY
T000119,13-03-2026,GB001,Adele Cole,Wealth,Advisory,Jithin M,Bavaria,CH23836,Glencore International,Europe,Mutual Fund,Fixed Income Funds,EUR,VALID,31,94.71,2936.01,BUY
T000135,13-03-2026,GB002,Carina Thompson,Private,Advisory,Sagar T,Berlin,XS23825,Amazon,North American,Mutual Fund,Equity Funds,USD,VALID,78,58.10,4531.80,SELL
T000172,13-03-2026,GB013,Sydney Allen,Private,Execution Only,Sagar T,Saxony,XS23835,Colgate,North American,Mutual Fund,Fixed Income Funds,USD,VALID,3,74.99,224.97,BUY
T000258,13-03-2026,GB019,Alfred Watson,Private,Execution Only,Jithin M,Rheinland-Pfalz,DE23822,Allianz,Europe,Equity,Local Equity,EUR,VALID,87,79.92,6953.04,SELL
T000267,13-03-2026,GB001,Adele Cole,Wealth,Advisory,Jithin M,Bavaria,XS23827,Meta,North American,Equity,Foreign Equity,USD,VALID,71,31.77,2255.67,BUY
T000367,13-03-2026,GB007,Valeria Perkins,Retail,Execution Only,Jithin M,Saxony,XS23823,JP Morgan,North American,Equity,Foreign Equity,USD,VALID,34,98.73,3356.82,BUY
T000383,13-03-2026,GB018,Aiden Grant,Retail,Execution Only,Nibu X,Berlin,XS23825,Amazon,North American,Mutual Fund,Equity Funds,USD,VALID,59,58.10,3427.90,BUY
T000400,13-03-2026,GB014,Max Kelley,Private,Advisory,Nibu X,Berlin,XS23832,IBM,North American,Bond,Medium Term,USD,VALID,35,36.12,1264.20,SELL
T000408,13-03-2026,GB011,Reid Allen,Wealth,Execution Only,Sulaiman B,Rheinland-Pfalz,AU23829,Albemarle,Australia,Mutual Fund,Fixed Income Funds,AUD,MISSING_PRICE,19,1.86,35.34,BUY
