CustomerID,Name,Segment,Type,RM,TL,SH,Area
GB001,Adele Cole,Wealth,Advisory,Jithin M,Sabine A,Syed I,Bavaria
GB002,Carina Thompson,Private,Advisory,Sagar T,Hanadi U,Syed I,Berlin
GB003,Stuart Carroll,Wealth,Execution Only,Sulaiman B,Sabine A,Syed I,Saxony
GB004,Rafael Miller,Retail,Execution Only,Sulaiman B,Hanadi U,Syed I,Rheinland-Pfalz
GB005,Victor Crawford,Wealth,Advisory,Jithin M,Sabine A,Syed I,Berlin
GB006,William Robinson,Private,Advisory,Nibu X,Sabine A,Syed I,Rheinland-Pfalz
GB007,Valeria Perkins,Retail,Execution Only,Jithin M,Hanadi U,Syed I,Saxony
GB008,Victoria Johnston,Wealth,Execution Only,Sulaiman B,Sabine A,Syed I,Bavaria
GB009,Michelle Armstrong,Private,Execution Only,Jithin M,Hanadi U,Syed I,Saxony
GB010,Michael Harrison,Private,Execution Only,Sagar T,Hanadi U,Syed I,Saxony
GB011,Reid Allen,Wealth,Execution Only,Sulaiman B,Hanadi U,Syed I,Rheinland-Pfalz
GB012,Lydia Carter,Retail,Advisory,Sagar T,Sabine A,Syed I,Bavaria
GB013,Sydney Allen,Private,Execution Only,Sagar T,Hanadi U,Syed I,Saxony
GB014,Max Kelley,Private,Advisory,Nibu X,Sabine A,Syed I,Berlin
GB015,Eleanor Scott,Private,Execution Only,Sulaiman B,Hanadi U,Syed I,Berlin
GB016,Rebecca Allen,Private,Advisory,Jithin M,Sabine A,Syed I,Saxony
GB017,Eleanor Mitchell,Retail,Execution Only,Jithin M,Hanadi U,Syed I,Berlin
GB018,Aiden Grant,Retail,Execution Only,Nibu X,Sabine A,Syed I,Berlin
GB019,Alfred Watson,Private,Execution Only,Jithin M,Sabine A,Syed I,Rheinland-Pfalz
GB020,Lenny Thomas,Wealth,Advisory,Jithin M,Sabine A,Syed I,Bavaria
